Date,Open,High,Low,Close,Adj Close,Volume
2014-09-29,100.589996,100.690002,98.040001,99.620003,93.514290,142718700
2014-10-06,99.949997,102.379997,98.309998,100.730003,94.556244,280258200
2014-10-13,101.330002,101.779999,95.180000,97.669998,91.683792,358539800
2014-10-20,98.320000,105.489998,98.220001,105.220001,98.771042,358532900
2014-10-27,104.849998,108.040001,104.699997,108.000000,101.380676,220230600
2014-11-03,108.220001,110.300003,107.720001,109.010002,102.328766,199952900
2014-11-10,109.019997,114.190002,108.400002,114.180000,107.646675,205166700
2014-11-17,114.269997,117.570000,113.300003,116.470001,109.805626,233414700
2014-11-25,116.849998,119.75,116.620003,118.93,112.124863,181873900
2014-11-26,116.849998,119.75,116.620003,118.93,112.124863,181873900
2014-11-27,116.849998,119.75,116.620003,118.93,112.124863,181873900
2014-11-28,116.849998,119.75,116.620003,118.93,112.124863,181873900
2014-11-25,116.849998,119.75,116.620003,118.93,112.124863,181873900
2014-11-26,116.849998,119.75,116.620003,118.93,112.124863,181873900
2014-11-27,116.849998,119.75,116.620003,118.93,112.124863,181873900
2014-11-28,116.849998,119.75,116.620003,118.93,112.124863,181873900
2014-11-25,116.849998,119.75,116.620003,118.93,112.124863,181873900
2014-11-26,116.849998,119.75,116.620003,118.93,112.124863,181873900
2014-11-27,116.849998,119.75,116.620003,118.93,112.124863,181873900
2014-11-28,116.849998,119.75,116.620003,118.93,112.124863,181873900
